domain,task,kind,method,value,std,n_tasks,higher_better,note,normalized_score
Biophysics,HIV,classification,RMMol,81.46,1.95,1,True,dataset-level mean weighted by task count,0.6181506849315064
Biophysics,HIV,classification,MoLFormer,81.54,0.79,1,True,dataset-level mean weighted by task count,0.6318493150684948
Biophysics,HIV,classification,MoleBERT,83.69,1.0,1,True,dataset-level mean weighted by task count,1.0
Biophysics,HIV,classification,GROVER,81.77,1.55,1,True,dataset-level mean weighted by task count,0.6712328767123287
Biophysics,HIV,classification,UniMol,77.85,1.58,1,True,dataset-level mean weighted by task count,0.0
Biophysics,HIV,classification,FCFP,83.49,1.21,1,True,dataset-level mean weighted by task count,0.9657534246575338
Biophysics,HIV,classification,ConfSeq,80.73685996926885,0.0,1,True,dataset-level mean weighted by task count,0.4943253372035707
Physical Chemistry,ESOL,regression,RMMol,0.6981,0.0388,1,False,dataset-level mean weighted by task count,1.0
Physical Chemistry,ESOL,regression,MoLFormer,0.7615,0.0559,1,False,dataset-level mean weighted by task count,0.8476505519051704
Physical Chemistry,ESOL,regression,MoleBERT,1.0127,0.0617,1,False,dataset-level mean weighted by task count,0.2440199310625634
Physical Chemistry,ESOL,regression,GROVER,0.7503,0.147,1,False,dataset-level mean weighted by task count,0.8745640190764967
Physical Chemistry,ESOL,regression,UniMol,0.7991,0.0336,1,False,dataset-level mean weighted by task count,0.7572981978300029
Physical Chemistry,ESOL,regression,FCFP,0.8391,0.06,1,False,dataset-level mean weighted by task count,0.661178672218123
Physical Chemistry,ESOL,regression,ConfSeq,1.1142485374107602,0.0861931796241887,1,False,dataset-level mean weighted by task count,0.0
Physical Chemistry,Lipophilicity,regression,RMMol,0.4421,0.2247,1,False,dataset-level mean weighted by task count,1.0
Physical Chemistry,Lipophilicity,regression,MoLFormer,0.9217,0.0221,1,False,dataset-level mean weighted by task count,0.2443484823580802
Physical Chemistry,Lipophilicity,regression,MoleBERT,0.8978,0.0249,1,False,dataset-level mean weighted by task count,0.2820050112814368
Physical Chemistry,Lipophilicity,regression,GROVER,0.7849,0.0103,1,False,dataset-level mean weighted by task count,0.4598887818022307
Physical Chemistry,Lipophilicity,regression,UniMol,0.8695,0.0228,1,False,dataset-level mean weighted by task count,0.3265941229354533
Physical Chemistry,Lipophilicity,regression,FCFP,0.8159,0.0145,1,False,dataset-level mean weighted by task count,0.4110455852907639
Physical Chemistry,Lipophilicity,regression,ConfSeq,1.0767840955161925,0.0189546081378239,1,False,dataset-level mean weighted by task count,0.0
Physical Chemistry,FreeSolv,regression,RMMol,2.2631,0.1984,1,False,dataset-level mean weighted by task count,0.5541099035665085
Physical Chemistry,FreeSolv,regression,MoLFormer,2.0909,0.1312,1,False,dataset-level mean weighted by task count,0.8176947803459361
Physical Chemistry,FreeSolv,regression,MoleBERT,2.6251,0.4627,1,False,dataset-level mean weighted by task count,0.0
Physical Chemistry,FreeSolv,regression,GROVER,2.5027,0.3435,1,False,dataset-level mean weighted by task count,0.1873564977804993
Physical Chemistry,FreeSolv,regression,UniMol,2.5922,0.2917,1,False,dataset-level mean weighted by task count,0.050359712230216
Physical Chemistry,FreeSolv,regression,FCFP,1.9718,0.3046,1,False,dataset-level mean weighted by task count,1.0
Physical Chemistry,FreeSolv,regression,ConfSeq,2.573317077908432,0.3586694426684085,1,False,dataset-level mean weighted by task count,0.0792636186921294
Quantum Mechanics,mu,regression,RMMol,0.7798,0.0038,1,False,QM9 uses MAE,0.5479944948198896
Quantum Mechanics,mu,regression,MoLFormer,0.8167,0.0045,1,False,QM9 uses MAE,0.4363545808898625
Quantum Mechanics,mu,regression,MoleBERT,0.8999,0.0031,1,False,QM9 uses MAE,0.1846353169609121
Quantum Mechanics,mu,regression,GROVER,0.6304,0.0031,1,False,QM9 uses MAE,1.0
Quantum Mechanics,mu,regression,UniMol,0.7786,0.0039,1,False,QM9 uses MAE,0.5516250611265574
Quantum Mechanics,mu,regression,FCFP,0.7993,0.0064,1,False,QM9 uses MAE,0.4889977923365419
Quantum Mechanics,mu,regression,ConfSeq,0.9609269477646488,0.0056387358563115,1,False,QM9 uses MAE,0.0
Quantum Mechanics,alpha,regression,RMMol,0.9783,0.0049,1,False,QM9 uses MAE,1.0
Quantum Mechanics,alpha,regression,MoLFormer,2.9549,0.0037,1,False,QM9 uses MAE,0.4196603022272618
Quantum Mechanics,alpha,regression,MoleBERT,4.1622,0.0186,1,False,QM9 uses MAE,0.0651909522722749
Quantum Mechanics,alpha,regression,GROVER,1.427,0.0116,1,False,QM9 uses MAE,0.8682594240662614
Quantum Mechanics,alpha,regression,UniMol,1.3085,0.0066,1,False,QM9 uses MAE,0.9030516198499656
Quantum Mechanics,alpha,regression,FCFP,3.8437,0.0259,1,False,QM9 uses MAE,0.1587041535980957
Quantum Mechanics,alpha,regression,ConfSeq,4.384236225948202,0.0245944095415228,1,False,QM9 uses MAE,0.0
Quantum Mechanics,r2,regression,RMMol,65.7886,0.2954,1,False,QM9 uses MAE,0.9076583436605572
Quantum Mechanics,r2,regression,MoLFormer,105.2741,0.3389,1,False,QM9 uses MAE,0.4486239022722992
Quantum Mechanics,r2,regression,MoleBERT,139.5309,0.3937,1,False,QM9 uses MAE,0.0503751514207392
Quantum Mechanics,r2,regression,GROVER,57.8455,0.3427,1,False,QM9 uses MAE,1.0
Quantum Mechanics,r2,regression,UniMol,58.3827,0.2108,1,False,QM9 uses MAE,0.9937548390696896
Quantum Mechanics,r2,regression,FCFP,143.8641,0.5585,1,False,QM9 uses MAE,0.0
Quantum Mechanics,r2,regression,ConfSeq,129.705510860234,0.8997468617945085,1,False,QM9 uses MAE,0.1645991580863442
Quantum Mechanics,zpve,regression,RMMol,0.0016,0.0,1,False,QM9 uses MAE,1.0
Quantum Mechanics,zpve,regression,MoLFormer,0.0076,0.0,1,False,QM9 uses MAE,0.4624368484682054
Quantum Mechanics,zpve,regression,MoleBERT,0.0117,0.0,1,False,QM9 uses MAE,0.0951020282548124
Quantum Mechanics,zpve,regression,GROVER,0.0029,0.0,1,False,QM9 uses MAE,0.8835279838347779
Quantum Mechanics,zpve,regression,UniMol,0.0053,0.0,1,False,QM9 uses MAE,0.6685027232220601
Quantum Mechanics,zpve,regression,FCFP,0.0116,0.0001,1,False,QM9 uses MAE,0.1040614141136757
Quantum Mechanics,zpve,regression,ConfSeq,0.0127614793218302,4.6292901888080206e-05,1,False,QM9 uses MAE,0.0
Quantum Mechanics,Cv,regression,RMMol,0.4211,0.0019,1,False,QM9 uses MAE,1.0
Quantum Mechanics,Cv,regression,MoLFormer,1.2164,0.0038,1,False,QM9 uses MAE,0.4629617124721453
Quantum Mechanics,Cv,regression,MoleBERT,1.902,0.0035,1,False,QM9 uses MAE,0.0
Quantum Mechanics,Cv,regression,GROVER,0.6391,0.009,1,False,QM9 uses MAE,0.8527922209467216
Quantum Mechanics,Cv,regression,UniMol,0.7435,0.0056,1,False,QM9 uses MAE,0.7822945506111149
Quantum Mechanics,Cv,regression,FCFP,1.8922,0.0134,1,False,QM9 uses MAE,0.0066175974069821
Quantum Mechanics,Cv,regression,ConfSeq,1.8182124508452,0.0071547548618801,1,False,QM9 uses MAE,0.0565788028596123
Quantum Mechanics,gap,regression,RMMol,0.0134,0.0001,1,False,QM9 uses MAE,0.5851775456805995
Quantum Mechanics,gap,regression,MoLFormer,0.0164,0.0001,1,False,QM9 uses MAE,0.3503723828582974
Quantum Mechanics,gap,regression,MoleBERT,0.0192,0.0001,1,False,QM9 uses MAE,0.1312208975574823
Quantum Mechanics,gap,regression,GROVER,0.0081,0.0001,1,False,QM9 uses MAE,1.0
Quantum Mechanics,gap,regression,UniMol,0.0156,0.0,1,False,QM9 uses MAE,0.4129870929442448
Quantum Mechanics,gap,regression,FCFP,0.016,0.0001,1,False,QM9 uses MAE,0.3816797379012711
Quantum Mechanics,gap,regression,ConfSeq,0.0208765504128645,0.0001127524381394,1,False,QM9 uses MAE,0.0
Quantum Mechanics,homo,regression,RMMol,0.0081,0.0,1,False,QM9 uses MAE,0.7816901408450705
Quantum Mechanics,homo,regression,MoLFormer,0.0091,0.0,1,False,QM9 uses MAE,0.7112676056338028
Quantum Mechanics,homo,regression,MoleBERT,0.0192,0.0001,1,False,QM9 uses MAE,0.0
Quantum Mechanics,homo,regression,GROVER,0.005,0.0,1,False,QM9 uses MAE,1.0
Quantum Mechanics,homo,regression,UniMol,0.0086,0.0,1,False,QM9 uses MAE,0.7464788732394366
Quantum Mechanics,homo,regression,FCFP,0.009,0.0,1,False,QM9 uses MAE,0.7183098591549296
Quantum Mechanics,homo,regression,ConfSeq,0.01237075703987,7.141593096123228e-05,1,False,QM9 uses MAE,0.4809326028260564
Quantum Mechanics,lumo,regression,RMMol,0.011,0.0001,1,False,QM9 uses MAE,0.6540121459941827
Quantum Mechanics,lumo,regression,MoLFormer,0.0143,0.0,1,False,QM9 uses MAE,0.4110845038198852
Quantum Mechanics,lumo,regression,MoleBERT,0.0178,0.0001,1,False,QM9 uses MAE,0.153433974241085
Quantum Mechanics,lumo,regression,GROVER,0.0063,0.0001,1,False,QM9 uses MAE,1.0
Quantum Mechanics,lumo,regression,UniMol,0.014,0.0001,1,False,QM9 uses MAE,0.4331688349266395
Quantum Mechanics,lumo,regression,FCFP,0.015,0.0,1,False,QM9 uses MAE,0.3595543979041252
Quantum Mechanics,lumo,regression,ConfSeq,0.0198842918922841,9.709745672636134e-05,1,False,QM9 uses MAE,0.0
Quantum Mechanics,u0,regression,RMMol,1.6095,0.0103,1,False,QM9 uses MAE,1.0
Quantum Mechanics,u0,regression,MoLFormer,13.6132,0.0595,1,False,QM9 uses MAE,0.3658089199185528
Quantum Mechanics,u0,regression,MoleBERT,19.8129,0.0816,1,False,QM9 uses MAE,0.0382603774540671
Quantum Mechanics,u0,regression,GROVER,6.7675,0.054,1,False,QM9 uses MAE,0.7274875587477108
Quantum Mechanics,u0,regression,UniMol,4.6112,0.0169,1,False,QM9 uses MAE,0.8414112844305939
Quantum Mechanics,u0,regression,FCFP,16.4434,0.0999,1,False,QM9 uses MAE,0.2162810581054025
Quantum Mechanics,u0,regression,ConfSeq,20.53707621008861,0.0722168249716157,1,False,QM9 uses MAE,0.0
Quantum Mechanics,U,regression,RMMol,1.6095,0.0103,1,False,QM9 uses MAE,1.0
Quantum Mechanics,U,regression,MoLFormer,13.6132,0.0595,1,False,QM9 uses MAE,0.3658033071332168
Quantum Mechanics,U,regression,MoleBERT,19.8127,0.0816,1,False,QM9 uses MAE,0.0382624324506088
Quantum Mechanics,U,regression,GROVER,6.7674,0.0541,1,False,QM9 uses MAE,0.7274904302725342
Quantum Mechanics,U,regression,UniMol,4.6111,0.0169,1,False,QM9 uses MAE,0.841415164215289
Quantum Mechanics,U,regression,FCFP,16.4431,0.0999,1,False,QM9 uses MAE,0.2162899719829123
Quantum Mechanics,U,regression,ConfSeq,20.536908696723447,0.0722127874103238,1,False,QM9 uses MAE,0.0
Quantum Mechanics,H,regression,RMMol,1.6095,0.0103,1,False,QM9 uses MAE,1.0
Quantum Mechanics,H,regression,MoLFormer,13.613,0.0596,1,False,QM9 uses MAE,0.3658137444818846
Quantum Mechanics,H,regression,MoleBERT,19.8127,0.0816,1,False,QM9 uses MAE,0.0382622363104629
Quantum Mechanics,H,regression,GROVER,6.7673,0.054,1,False,QM9 uses MAE,0.7274956580404603
Quantum Mechanics,H,regression,UniMol,4.6111,0.0169,1,False,QM9 uses MAE,0.8414151318729391
Quantum Mechanics,H,regression,FCFP,16.4431,0.0999,1,False,QM9 uses MAE,0.2162898121503297
Quantum Mechanics,H,regression,ConfSeq,20.53690483660186,0.0722100369575673,1,False,QM9 uses MAE,0.0
Quantum Mechanics,G,regression,RMMol,1.6095,0.0103,1,False,QM9 uses MAE,1.0
Quantum Mechanics,G,regression,MoLFormer,13.6135,0.0596,1,False,QM9 uses MAE,0.3658037561077623
Quantum Mechanics,G,regression,MoleBERT,19.8134,0.0816,1,False,QM9 uses MAE,0.038250166262087
Quantum Mechanics,G,regression,GROVER,6.7676,0.0539,1,False,QM9 uses MAE,0.7274868672425399
Quantum Mechanics,G,regression,UniMol,4.6113,0.0169,1,False,QM9 uses MAE,0.8414086733659014
Quantum Mechanics,G,regression,FCFP,16.4439,0.0999,1,False,QM9 uses MAE,0.2162678473512986
Quantum Mechanics,G,regression,ConfSeq,20.537395135941097,0.0722146867241899,1,False,QM9 uses MAE,0.0
